dataset,train_size,nb_tot_anomalies,nb_utilise_anomalie,mean_auc_pr,std_auc_pr,contamination
fraud_2,232132,394,40,0.3394221965809915,0.08527310898205612,0.05
fraud_2,232192,394,100,0.29506866130007475,0.06138606844534951,0.05
fraud_2,232392,394,300,0.550437858318531,0.05703407762521355,0.05
fraud_2,232486,394,394,0.4491934188954959,0.06495088282044668,0.05
fraud_2,232392,394,300,0.550437858318531,0.05703407762521355,0.05
fraud_2,232242,394,150,0.4288685876723818,0.06366274045469349,0.05
fraud_2,232112,394,20,0.44833663251816736,0.019177685271391277,0.05
fraud_2,227471,394,20,0.6253229278751087,0.020942625052719908,0.00
fraud_2,227551,394,100,0.5400466799059528,0.03923961202582575,0.00
fraud_2,227751,394,300,0.7099207485456347,0.009655939355326038,0.00
fraud_2,227845,394,394,0.7036498224694776,0.009913293871642897,0.00
fraud_2,227651,394,200,0.7069852105519667,0.01836482843299617,0.00
fraud_2,227601,394,150,0.5761569781820999,0.024704357223326916,0.00
fraud_2,227501,394,50,0.5528883354674485,0.0473777777067425,0.00
fraud_2,227461,394,10,0.6850054124441857,0.005953666588202709,0.00
fraud_2,227456,394,5,0.6792458615070865,0.005472045173458275,0.00
fraud_lesinn,222600,6245,1000,0.17238166812884193,0.025290199217267172,0.00
fraud_lesinn,224379,4466,1000,0.20754742547241317,0.023879524275540565,0.00
fraud_lesinn,227845,540,540,0.19944111925385452,0.005243214946370746,0.00
fraud_lesinn,227845,120,120,0.2227883206690021,0.0396041992579054,0.00
fraud_lesinn,227845,52,52,0.02730058741813981,0.021572929890072576,0.00
fraud_lesinn,227845,350,350,0.14928388155501893,0.027912167350762684,0.00
fraud_lesinn,227504,1341,1000,0.1852005077117438,0.014231119494982913,0.00
fraud_vrai_2_hard,227451,50,50,0.0071471689544214,0.004997921780782103,0.00
fraud_vrai_2_hard,227451,100,100,0.08039629750456878,0.034145775513305096,0.00
fraud_vrai_2_hard,227451,500,500,0.11817736772091443,0.006490821483347375,0.00
fraud_vrai_2_hard,227451,2000,2000,0.1361620016559936,0.012495030848563349,0.00
fraud_vrai_2_hard,227451,5000,5000,0.130800552710131,0.018076511537563268,0.00
fraud_vrai_2_hard,227451,10000,10000,0.09254282035767213,0.015427374711446394,0.00
fraud_vrai_2,227457,438,50,0.532670088653476,0.03847176440279605,0.00
fraud_vrai_2,227472,473,100,0.5654234216621254,0.045094580160581474,0.00
fraud_vrai_2,227557,788,500,0.5486301280736754,0.03652278016707014,0.00
fraud_vrai_2,227677,2168,2000,0.3560676066221219,0.017854366359692998,0.00
fraud_vrai_2,227766,5079,5000,0.18838093229623612,0.018123721486987154,0.00
fraud_vrai_2,227792,10053,10000,0.1064339206964039,0.01434952608392233,0.00
