algo,param,auc_mean,auc_std
IsolationForest,,0.12127409807009673,0.02754552936290965
OneClass_0.0001,0.0001,0.29207954178641166,0.0
OneClass_0.001,0.001,0.29316997393446803,0.0
OneClass_0.01,0.01,0.29031964552117645,0.0
OneClass_0.1,0.1,0.26032102142346497,0.0
KNN,1,0.36795424647908315,0.0
KNN,21,0.25592153692930764,0.0
KNN,41,0.2767962510801986,0.0
KNN,61,0.28603167734343776,0.0
KNN,81,0.2938472131992939,0.0
KNN_HARD,1,0.029614497227116017,0.0
KNN_HARD,21,0.09732012658848654,0.0
KNN_HARD,41,0.11230450612555336,0.0
KNN_HARD,61,0.11954365463227241,0.0
KNN_HARD,81,0.12568737433849422,0.0
KNN_HARD,100,0.13063305756067028,0.0
KNN_HARD,150,0.14164270865852596,0.0
KNN_HARD,200,0.15082825521021936,0.0
KNN_HARD,250,0.158432005551744,0.0
KNN_HARD,300,0.16723801441003938,0.0
KNN_HARD,350,0.17358537053379294,0.0
KNN_HARD,400,0.18366374416591036,0.0
KNN_HARD,450,0.19162544501246812,0.0
KNN_HARD,500,0.19812609310125187,0.0
KNN_HARD,550,0.20226771710917765,0.0
KNN_HARD,600,0.2057536077199308,0.0
KNN_HARD,650,0.2078399852763906,0.0
KNN_HARD,700,0.2087802909454239,0.0
KNN_HARD,750,0.20962979828995723,0.0
KNN_HARD,800,0.20998478872710014,0.0
KNN_HARD,850,0.20960809609210948,0.0
KNN_HARD,900,0.20984578424307243,0.0
KNN_HARD,950,0.20992448517202306,0.0
